Date,Week,Plant,Department,Model,Issue_Type,Severity,Affected_Units,Status
2026-01-18,W03,Dearborn,Body Shop,Escape,Inspection Failure,Medium,12,Resolved
2026-01-18,W03,Dearborn,Assembly,Edge,Equipment Failure,Medium,12,Active
2026-01-18,W03,Dearborn,Paint Shop,Expedition,Safety Issue,High,19,Active
2026-01-18,W03,Dearborn,Body Shop,Fusion,Inspection Failure,Medium,18,Resolved
2026-01-18,W03,Dearborn,Quality Check,Mach-E,Quality Issue,Medium,14,Active
2026-01-18,W03,Chicago,Quality Check,F-150,Equipment Failure,Medium,10,Resolved
2026-01-18,W03,Chicago,Paint Shop,Explorer,Inspection Failure,Low,8,Active
2026-01-18,W03,Chicago,Assembly,Ranger,Equipment Failure,Low,10,Resolved
2026-01-18,W03,Chicago,Logistics,Fusion,Inspection Failure,High,19,Resolved
2026-01-18,W03,Detroit,Paint Shop,F-150,Equipment Failure,Medium,12,Resolved
2026-01-18,W03,Detroit,Body Shop,Mustang,Machine Failure,High,19,Active
2026-01-18,W03,Detroit,Logistics,Explorer,Equipment Failure,Low,8,Active
2026-01-18,W03,Detroit,Quality Check,Escape,Safety Issue,High,18,Active
2026-01-18,W03,Detroit,Assembly,Edge,Inspection Failure,Low,10,Active
2026-01-18,W03,Detroit,Assembly,Ranger,Equipment Failure,Medium,10,Active
2026-01-18,W03,Detroit,Quality Check,Bronco,Safety Issue,Medium,16,Resolved
2026-01-18,W03,Detroit,Assembly,Expedition,Safety Issue,Medium,16,Active
2026-01-18,W03,Detroit,Assembly,Mach-E,Quality Issue,Medium,12,Resolved
2026-01-18,W03,Kansas City,Assembly,Mustang,Quality Issue,High,16,Resolved
2026-01-18,W03,Kansas City,Body Shop,Escape,Safety Issue,High,17,Active
2026-01-18,W03,Kansas City,Logistics,Edge,Quality Issue,Low,7,Active
2026-01-18,W03,Kansas City,Quality Check,Bronco,Inspection Failure,High,21,Active
2026-01-18,W03,Kansas City,Assembly,Expedition,Equipment Failure,High,20,Active
2026-01-18,W03,Kansas City,Body Shop,Fusion,Equipment Failure,High,21,Resolved
2026-01-18,W03,Kansas City,Assembly,Mach-E,Machine Failure,Medium,14,Active
2026-01-18,W03,Louisville,Assembly,Edge,Inspection Failure,Medium,16,Active
2026-01-18,W03,Louisville,Logistics,Ranger,Machine Failure,Medium,17,Active
2026-01-18,W03,Louisville,Logistics,Expedition,Quality Issue,High,20,Resolved
2026-01-18,W03,Louisville,Paint Shop,Fusion,Machine Failure,Medium,13,Active
2026-01-18,W03,Louisville,Paint Shop,Mach-E,Inspection Failure,Medium,19,Resolved
2026-01-18,W03,Valencia,Paint Shop,F-150,Machine Failure,Medium,10,Active
2026-01-18,W03,Valencia,Body Shop,Escape,Safety Issue,High,22,Resolved
2026-01-18,W03,Valencia,Body Shop,Bronco,Quality Issue,Medium,19,Active
2026-01-18,W03,Valencia,Body Shop,Fusion,Quality Issue,Medium,21,Active
2026-01-18,W03,Cologne,Assembly,Mustang,Machine Failure,Medium,14,Active
2026-01-18,W03,Cologne,Body Shop,Edge,Safety Issue,High,19,Resolved
2026-01-18,W03,Cologne,Paint Shop,Ranger,Equipment Failure,Low,11,Resolved
2026-01-18,W03,Cologne,Paint Shop,Bronco,Quality Issue,Medium,14,Resolved
2026-01-18,W03,Cologne,Paint Shop,Fusion,Safety Issue,Medium,15,Resolved
2026-01-18,W03,Chennai,Logistics,Mustang,Quality Issue,Medium,13,Resolved
2026-01-18,W03,Chennai,Quality Check,Explorer,Inspection Failure,High,21,Resolved
2026-01-18,W03,Chennai,Assembly,Escape,Quality Issue,Medium,13,Active
2026-01-18,W03,Chennai,Paint Shop,Edge,Safety Issue,Medium,16,Active
2026-01-18,W03,Chennai,Logistics,Ranger,Inspection Failure,High,22,Active
2026-01-18,W03,Chennai,Quality Check,Expedition,Machine Failure,Low,12,Active
2026-01-18,W03,Pune,Quality Check,Mustang,Machine Failure,Medium,13,Resolved
2026-01-18,W03,Pune,Body Shop,Explorer,Safety Issue,Low,10,Active
2026-01-18,W03,Pune,Paint Shop,Expedition,Equipment Failure,Medium,16,Active
2026-01-18,W03,Pune,Paint Shop,Fusion,Machine Failure,Low,10,Resolved
2026-01-18,W03,Pune,Assembly,Mach-E,Safety Issue,Medium,19,Active
2026-01-18,W03,Sanand,Logistics,F-150,Quality Issue,High,19,Active
2026-01-18,W03,Sanand,Body Shop,Mustang,Inspection Failure,High,21,Active
2026-01-18,W03,Sanand,Assembly,Explorer,Inspection Failure,Low,8,Resolved
2026-01-18,W03,Sanand,Quality Check,Edge,Equipment Failure,Low,11,Resolved
2026-01-18,W03,Sanand,Body Shop,Ranger,Safety Issue,Medium,20,Resolved
2026-01-18,W03,Sanand,Assembly,Bronco,Machine Failure,Low,8,Resolved
2026-01-18,W03,Sanand,Quality Check,Fusion,Equipment Failure,High,25,Active
2026-01-19,W04,Dearborn,Quality Check,Mustang,Inspection Failure,High,19,Active
2026-01-19,W04,Dearborn,Assembly,Explorer,Safety Issue,High,20,Active
2026-01-19,W04,Dearborn,Paint Shop,Ranger,Quality Issue,Low,11,Resolved
2026-01-19,W04,Chicago,Quality Check,F-150,Equipment Failure,High,18,Resolved
2026-01-19,W04,Chicago,Body Shop,Escape,Safety Issue,Medium,14,Active
2026-01-19,W04,Chicago,Paint Shop,Ranger,Safety Issue,Medium,18,Active
2026-01-19,W04,Detroit,Paint Shop,Mustang,Safety Issue,Medium,12,Active
2026-01-19,W04,Detroit,Logistics,Explorer,Inspection Failure,High,22,Active
2026-01-19,W04,Detroit,Paint Shop,Edge,Equipment Failure,High,22,Active
2026-01-19,W04,Detroit,Logistics,Ranger,Inspection Failure,Low,11,Active
2026-01-19,W04,Detroit,Logistics,Fusion,Quality Issue,Low,13,Resolved
2026-01-19,W04,Kansas City,Assembly,Mustang,Machine Failure,Medium,11,Resolved
2026-01-19,W04,Kansas City,Assembly,Explorer,Equipment Failure,Medium,19,Active
2026-01-19,W04,Kansas City,Body Shop,Edge,Safety Issue,Medium,14,Active
2026-01-19,W04,Kansas City,Paint Shop,Bronco,Equipment Failure,Medium,16,Active
2026-01-19,W04,Kansas City,Body Shop,Expedition,Machine Failure,High,23,Resolved
2026-01-19,W04,Kansas City,Assembly,Fusion,Safety Issue,Medium,21,Active
2026-01-19,W04,Kansas City,Body Shop,Mach-E,Quality Issue,Medium,17,Active
2026-01-19,W04,Louisville,Quality Check,Explorer,Quality Issue,Medium,15,Resolved
2026-01-19,W04,Louisville,Body Shop,Fusion,Quality Issue,Medium,14,Active
2026-01-19,W04,Valencia,Body Shop,Explorer,Inspection Failure,Low,8,Active
2026-01-19,W04,Valencia,Assembly,Bronco,Safety Issue,Low,10,Active
2026-01-19,W04,Valencia,Assembly,Expedition,Quality Issue,Medium,22,Resolved
2026-01-19,W04,Valencia,Logistics,Fusion,Machine Failure,High,27,Resolved
2026-01-19,W04,Cologne,Body Shop,F-150,Inspection Failure,Medium,13,Resolved
2026-01-19,W04,Cologne,Quality Check,Explorer,Inspection Failure,Medium,13,Active
2026-01-19,W04,Cologne,Paint Shop,Edge,Equipment Failure,Medium,18,Active
2026-01-19,W04,Cologne,Paint Shop,Bronco,Quality Issue,Medium,15,Resolved
2026-01-19,W04,Cologne,Logistics,Expedition,Inspection Failure,Medium,19,Resolved
2026-01-19,W04,Cologne,Paint Shop,Fusion,Equipment Failure,Medium,18,Resolved
2026-01-19,W04,Chennai,Body Shop,F-150,Quality Issue,High,22,Active
2026-01-19,W04,Chennai,Logistics,Mustang,Machine Failure,Low,9,Active
2026-01-19,W04,Chennai,Assembly,Edge,Inspection Failure,Medium,16,Active
2026-01-19,W04,Chennai,Paint Shop,Ranger,Inspection Failure,Low,11,Active
2026-01-19,W04,Chennai,Paint Shop,Bronco,Quality Issue,Medium,15,Resolved
2026-01-19,W04,Chennai,Assembly,Expedition,Safety Issue,Medium,21,Active
2026-01-19,W04,Pune,Logistics,Explorer,Quality Issue,High,21,Active
2026-01-19,W04,Pune,Paint Shop,Escape,Equipment Failure,Medium,17,Resolved
2026-01-19,W04,Pune,Quality Check,Bronco,Safety Issue,Low,12,Active
2026-01-19,W04,Pune,Quality Check,Expedition,Safety Issue,Low,14,Resolved
2026-01-19,W04,Sanand,Body Shop,F-150,Machine Failure,Medium,14,Active
2026-01-19,W04,Sanand,Quality Check,Mustang,Safety Issue,Medium,17,Resolved
2026-01-19,W04,Sanand,Paint Shop,Explorer,Equipment Failure,Medium,15,Resolved
2026-01-19,W04,Sanand,Body Shop,Edge,Inspection Failure,Low,11,Active
2026-01-19,W04,Sanand,Logistics,Bronco,Quality Issue,Medium,19,Active
2026-01-19,W04,Sanand,Paint Shop,Expedition,Safety Issue,Low,14,Active
2026-01-20,W04,Dearborn,Body Shop,F-150,Equipment Failure,High,20,Active
2026-01-20,W04,Dearborn,Paint Shop,Explorer,Quality Issue,Medium,12,Active
2026-01-20,W04,Dearborn,Body Shop,Bronco,Quality Issue,Medium,14,Active
2026-01-20,W04,Dearborn,Quality Check,Fusion,Quality Issue,High,21,Active
2026-01-20,W04,Chicago,Logistics,Edge,Machine Failure,High,20,Resolved
2026-01-20,W04,Detroit,Body Shop,Mustang,Inspection Failure,Medium,14,Active
2026-01-20,W04,Detroit,Quality Check,Explorer,Quality Issue,High,22,Active
2026-01-20,W04,Detroit,Body Shop,Escape,Quality Issue,Medium,16,Resolved
2026-01-20,W04,Detroit,Quality Check,Ranger,Machine Failure,Medium,15,Resolved
2026-01-20,W04,Detroit,Paint Shop,Bronco,Safety Issue,Medium,21,Resolved
2026-01-20,W04,Detroit,Assembly,Expedition,Safety Issue,Medium,15,Resolved
2026-01-20,W04,Detroit,Body Shop,Fusion,Quality Issue,Medium,16,Active
2026-01-20,W04,Kansas City,Body Shop,Mustang,Quality Issue,Medium,17,Resolved
2026-01-20,W04,Kansas City,Logistics,Explorer,Machine Failure,Medium,12,Active
2026-01-20,W04,Kansas City,Quality Check,Bronco,Safety Issue,High,25,Resolved
2026-01-20,W04,Kansas City,Quality Check,Expedition,Quality Issue,High,25,Active
2026-01-20,W04,Louisville,Paint Shop,F-150,Quality Issue,Medium,15,Active
2026-01-20,W04,Louisville,Assembly,Mustang,Machine Failure,High,19,Active
2026-01-20,W04,Louisville,Body Shop,Explorer,Machine Failure,Medium,12,Resolved
2026-01-20,W04,Louisville,Paint Shop,Ranger,Inspection Failure,Medium,15,Active
2026-01-20,W04,Louisville,Assembly,Expedition,Quality Issue,High,24,Active
2026-01-20,W04,Valencia,Logistics,Ranger,Safety Issue,Medium,21,Active
2026-01-20,W04,Valencia,Body Shop,Bronco,Safety Issue,Medium,19,Resolved
2026-01-20,W04,Valencia,Quality Check,Fusion,Safety Issue,Low,13,Active
2026-01-20,W04,Valencia,Assembly,Mach-E,Quality Issue,Medium,22,Active
2026-01-20,W04,Cologne,Logistics,Mustang,Quality Issue,Medium,17,Resolved
2026-01-20,W04,Cologne,Logistics,Escape,Inspection Failure,Medium,20,Active
2026-01-20,W04,Cologne,Body Shop,Bronco,Inspection Failure,Medium,23,Active
2026-01-20,W04,Cologne,Paint Shop,Expedition,Machine Failure,Medium,23,Active
2026-01-20,W04,Cologne,Quality Check,Fusion,Machine Failure,Medium,14,Active
2026-01-20,W04,Chennai,Paint Shop,F-150,Safety Issue,Low,11,Resolved
2026-01-20,W04,Chennai,Logistics,Mustang,Inspection Failure,Medium,14,Active
2026-01-20,W04,Chennai,Quality Check,Escape,Machine Failure,High,22,Resolved
2026-01-20,W04,Chennai,Body Shop,Edge,Equipment Failure,High,22,Active
2026-01-20,W04,Chennai,Logistics,Ranger,Quality Issue,Medium,20,Active
2026-01-20,W04,Chennai,Quality Check,Expedition,Quality Issue,Medium,16,Active
2026-01-20,W04,Chennai,Logistics,Fusion,Inspection Failure,Low,14,Active
2026-01-20,W04,Pune,Paint Shop,Mustang,Safety Issue,High,23,Resolved
2026-01-20,W04,Pune,Paint Shop,Edge,Equipment Failure,Medium,20,Resolved
2026-01-20,W04,Pune,Assembly,Expedition,Safety Issue,High,26,Resolved
2026-01-20,W04,Pune,Paint Shop,Fusion,Inspection Failure,Low,12,Active
2026-01-20,W04,Sanand,Paint Shop,F-150,Equipment Failure,Medium,19,Resolved
2026-01-20,W04,Sanand,Logistics,Mustang,Machine Failure,Medium,14,Active
2026-01-20,W04,Sanand,Assembly,Escape,Safety Issue,Medium,19,Active
2026-01-20,W04,Sanand,Logistics,Edge,Inspection Failure,Medium,18,Resolved
2026-01-20,W04,Sanand,Paint Shop,Bronco,Equipment Failure,Low,12,Resolved
2026-01-20,W04,Sanand,Assembly,Fusion,Inspection Failure,Low,14,Resolved
2026-01-21,W04,Dearborn,Quality Check,F-150,Quality Issue,Low,8,Active
2026-01-21,W04,Dearborn,Body Shop,Mustang,Machine Failure,Medium,17,Active
2026-01-21,W04,Dearborn,Quality Check,Expedition,Inspection Failure,Medium,13,Active
2026-01-21,W04,Chicago,Body Shop,Ranger,Inspection Failure,High,25,Resolved
2026-01-21,W04,Chicago,Logistics,Fusion,Quality Issue,Medium,20,Active
2026-01-21,W04,Chicago,Assembly,Mach-E,Inspection Failure,Medium,13,Active
2026-01-21,W04,Detroit,Logistics,F-150,Inspection Failure,Medium,13,Active
2026-01-21,W04,Detroit,Paint Shop,Explorer,Inspection Failure,High,19,Resolved
2026-01-21,W04,Detroit,Body Shop,Mach-E,Equipment Failure,Medium,15,Active
2026-01-21,W04,Kansas City,Body Shop,F-150,Equipment Failure,Medium,16,Active
2026-01-21,W04,Kansas City,Logistics,Mustang,Machine Failure,High,22,Active
2026-01-21,W04,Kansas City,Assembly,Explorer,Safety Issue,Medium,18,Resolved
2026-01-21,W04,Kansas City,Assembly,Edge,Safety Issue,Medium,14,Active
2026-01-21,W04,Kansas City,Logistics,Bronco,Quality Issue,Medium,18,Active
2026-01-21,W04,Kansas City,Paint Shop,Expedition,Safety Issue,Low,13,Resolved
2026-01-21,W04,Kansas City,Logistics,Fusion,Quality Issue,Medium,16,Active
2026-01-21,W04,Kansas City,Assembly,Mach-E,Quality Issue,Medium,15,Resolved
2026-01-21,W04,Louisville,Quality Check,F-150,Safety Issue,Medium,17,Resolved
2026-01-21,W04,Louisville,Quality Check,Mustang,Safety Issue,High,22,Resolved
2026-01-21,W04,Louisville,Logistics,Explorer,Quality Issue,Medium,12,Resolved
2026-01-21,W04,Louisville,Quality Check,Escape,Quality Issue,Low,10,Active
2026-01-21,W04,Louisville,Body Shop,Bronco,Equipment Failure,Medium,18,Resolved
2026-01-21,W04,Louisville,Quality Check,Fusion,Quality Issue,Low,11,Active
2026-01-21,W04,Valencia,Body Shop,F-150,Machine Failure,Medium,17,Active
2026-01-21,W04,Valencia,Logistics,Fusion,Equipment Failure,High,25,Resolved
2026-01-21,W04,Valencia,Assembly,Mach-E,Inspection Failure,Low,13,Active
2026-01-21,W04,Cologne,Body Shop,F-150,Equipment Failure,Medium,17,Active
2026-01-21,W04,Cologne,Assembly,Mustang,Machine Failure,Low,11,Resolved
2026-01-21,W04,Cologne,Body Shop,Escape,Quality Issue,Medium,15,Active
2026-01-21,W04,Cologne,Quality Check,Fusion,Machine Failure,Medium,17,Active
2026-01-21,W04,Chennai,Assembly,Explorer,Equipment Failure,Medium,17,Active
2026-01-21,W04,Chennai,Paint Shop,Bronco,Equipment Failure,Low,10,Active
2026-01-21,W04,Chennai,Assembly,Expedition,Equipment Failure,Medium,23,Resolved
2026-01-21,W04,Chennai,Quality Check,Mach-E,Equipment Failure,Medium,25,Resolved
2026-01-21,W04,Pune,Quality Check,F-150,Quality Issue,Medium,14,Active
2026-01-21,W04,Pune,Paint Shop,Escape,Safety Issue,Medium,17,Active
2026-01-21,W04,Pune,Quality Check,Edge,Equipment Failure,Low,10,Active
2026-01-21,W04,Pune,Logistics,Bronco,Inspection Failure,High,26,Active
2026-01-21,W04,Pune,Body Shop,Fusion,Quality Issue,Medium,19,Active
2026-01-21,W04,Pune,Logistics,Mach-E,Equipment Failure,High,28,Resolved
2026-01-21,W04,Sanand,Quality Check,Explorer,Equipment Failure,High,25,Resolved
2026-01-21,W04,Sanand,Paint Shop,Edge,Safety Issue,Medium,16,Active
2026-01-21,W04,Sanand,Paint Shop,Ranger,Safety Issue,High,26,Active
2026-01-21,W04,Sanand,Quality Check,Bronco,Inspection Failure,Medium,15,Active
2026-01-21,W04,Sanand,Assembly,Fusion,Safety Issue,Medium,17,Active
2026-01-21,W04,Sanand,Logistics,Mach-E,Safety Issue,Low,14,Active
2026-01-22,W04,Dearborn,Paint Shop,F-150,Quality Issue,Medium,13,Resolved
2026-01-22,W04,Dearborn,Assembly,Mustang,Safety Issue,Medium,15,Resolved
2026-01-22,W04,Dearborn,Assembly,Explorer,Inspection Failure,Medium,17,Active
2026-01-22,W04,Dearborn,Assembly,Escape,Quality Issue,High,21,Active
2026-01-22,W04,Dearborn,Quality Check,Edge,Equipment Failure,Low,9,Active
2026-01-22,W04,Chicago,Body Shop,F-150,Machine Failure,Medium,11,Active
2026-01-22,W04,Chicago,Body Shop,Expedition,Quality Issue,Medium,17,Resolved
2026-01-22,W04,Chicago,Quality Check,Fusion,Equipment Failure,Low,13,Resolved
2026-01-22,W04,Detroit,Logistics,F-150,Safety Issue,Medium,13,Resolved
2026-01-22,W04,Detroit,Paint Shop,Edge,Equipment Failure,Medium,15,Resolved
2026-01-22,W04,Detroit,Quality Check,Ranger,Quality Issue,Low,8,Resolved
2026-01-22,W04,Detroit,Assembly,Bronco,Equipment Failure,High,25,Resolved
2026-01-22,W04,Detroit,Assembly,Fusion,Safety Issue,Medium,22,Active
2026-01-22,W04,Detroit,Paint Shop,Mach-E,Quality Issue,Medium,21,Resolved
2026-01-22,W04,Kansas City,Logistics,F-150,Quality Issue,High,20,Active
2026-01-22,W04,Kansas City,Assembly,Explorer,Equipment Failure,High,20,Active
2026-01-22,W04,Kansas City,Paint Shop,Escape,Inspection Failure,High,21,Active
2026-01-22,W04,Kansas City,Logistics,Ranger,Quality Issue,High,21,Active
2026-01-22,W04,Kansas City,Logistics,Bronco,Quality Issue,Medium,16,Active
2026-01-22,W04,Louisville,Logistics,Expedition,Equipment Failure,High,25,Active
2026-01-22,W04,Valencia,Body Shop,Mustang,Safety Issue,Medium,12,Active
2026-01-22,W04,Valencia,Body Shop,Ranger,Machine Failure,Medium,14,Resolved
2026-01-22,W04,Cologne,Quality Check,F-150,Equipment Failure,Medium,18,Resolved
2026-01-22,W04,Cologne,Quality Check,Mustang,Safety Issue,Medium,15,Active
2026-01-22,W04,Cologne,Paint Shop,Escape,Machine Failure,High,25,Resolved
2026-01-22,W04,Cologne,Body Shop,Edge,Quality Issue,High,26,Active
2026-01-22,W04,Cologne,Logistics,Ranger,Equipment Failure,Medium,21,Active
2026-01-22,W04,Cologne,Paint Shop,Mach-E,Inspection Failure,Medium,15,Active
2026-01-22,W04,Chennai,Logistics,F-150,Equipment Failure,Low,10,Resolved
2026-01-22,W04,Chennai,Quality Check,Mustang,Inspection Failure,High,23,Resolved
2026-01-22,W04,Chennai,Paint Shop,Escape,Equipment Failure,Medium,19,Resolved
2026-01-22,W04,Chennai,Quality Check,Edge,Equipment Failure,Medium,16,Active
2026-01-22,W04,Chennai,Paint Shop,Bronco,Safety Issue,Medium,21,Active
2026-01-22,W04,Chennai,Body Shop,Fusion,Quality Issue,Medium,18,Resolved
2026-01-22,W04,Pune,Assembly,F-150,Machine Failure,Medium,16,Active
2026-01-22,W04,Pune,Quality Check,Mustang,Inspection Failure,Low,10,Active
2026-01-22,W04,Pune,Quality Check,Edge,Equipment Failure,Medium,21,Resolved
2026-01-22,W04,Pune,Paint Shop,Bronco,Inspection Failure,Medium,19,Resolved
2026-01-22,W04,Pune,Assembly,Fusion,Inspection Failure,High,26,Active
2026-01-22,W04,Sanand,Paint Shop,F-150,Quality Issue,High,23,Active
2026-01-22,W04,Sanand,Assembly,Explorer,Equipment Failure,Medium,17,Active
2026-01-22,W04,Sanand,Logistics,Escape,Inspection Failure,Medium,14,Resolved
2026-01-22,W04,Sanand,Assembly,Edge,Machine Failure,Medium,20,Active
2026-01-22,W04,Sanand,Assembly,Expedition,Machine Failure,Low,13,Resolved
2026-01-22,W04,Sanand,Paint Shop,Mach-E,Equipment Failure,High,30,Active
2026-01-23,W04,Dearborn,Logistics,Mustang,Safety Issue,High,18,Active
2026-01-23,W04,Dearborn,Assembly,Explorer,Machine Failure,Medium,15,Resolved
2026-01-23,W04,Dearborn,Paint Shop,Escape,Safety Issue,Medium,18,Active
2026-01-23,W04,Dearborn,Assembly,Bronco,Equipment Failure,Medium,18,Resolved
2026-01-23,W04,Dearborn,Assembly,Mach-E,Inspection Failure,Low,10,Resolved
2026-01-23,W04,Chicago,Paint Shop,F-150,Quality Issue,Medium,15,Active
2026-01-23,W04,Chicago,Logistics,Mustang,Machine Failure,Medium,16,Active
2026-01-23,W04,Chicago,Body Shop,Escape,Safety Issue,Medium,15,Active
2026-01-23,W04,Chicago,Quality Check,Edge,Machine Failure,Low,11,Resolved
2026-01-23,W04,Chicago,Body Shop,Ranger,Safety Issue,Medium,18,Active
2026-01-23,W04,Chicago,Logistics,Fusion,Quality Issue,Medium,18,Resolved
2026-01-23,W04,Detroit,Logistics,F-150,Inspection Failure,High,19,Resolved
2026-01-23,W04,Detroit,Logistics,Mustang,Safety Issue,Medium,17,Resolved
2026-01-23,W04,Detroit,Paint Shop,Explorer,Safety Issue,Medium,11,Active
2026-01-23,W04,Detroit,Quality Check,Ranger,Equipment Failure,High,22,Resolved
2026-01-23,W04,Kansas City,Quality Check,Escape,Quality Issue,High,20,Resolved
2026-01-23,W04,Kansas City,Body Shop,Edge,Safety Issue,Medium,13,Resolved
2026-01-23,W04,Kansas City,Logistics,Ranger,Equipment Failure,Low,10,Active
2026-01-23,W04,Kansas City,Logistics,Bronco,Equipment Failure,Medium,21,Active
2026-01-23,W04,Kansas City,Quality Check,Fusion,Safety Issue,High,29,Resolved
2026-01-23,W04,Kansas City,Body Shop,Mach-E,Inspection Failure,High,25,Active
2026-01-23,W04,Louisville,Quality Check,Explorer,Equipment Failure,High,20,Resolved
2026-01-23,W04,Louisville,Logistics,Escape,Inspection Failure,Low,8,Active
2026-01-23,W04,Louisville,Quality Check,Bronco,Inspection Failure,Low,12,Resolved
2026-01-23,W04,Louisville,Quality Check,Fusion,Machine Failure,Low,9,Resolved
2026-01-23,W04,Valencia,Logistics,F-150,Quality Issue,Medium,14,Resolved
2026-01-23,W04,Valencia,Body Shop,Explorer,Machine Failure,Medium,17,Resolved
2026-01-23,W04,Valencia,Paint Shop,Escape,Safety Issue,Medium,18,Resolved
2026-01-23,W04,Valencia,Logistics,Ranger,Equipment Failure,Medium,18,Active
2026-01-23,W04,Cologne,Paint Shop,Escape,Equipment Failure,Low,10,Resolved
2026-01-23,W04,Cologne,Paint Shop,Ranger,Equipment Failure,Medium,14,Active
2026-01-23,W04,Cologne,Body Shop,Fusion,Inspection Failure,Medium,19,Resolved
2026-01-23,W04,Cologne,Assembly,Mach-E,Machine Failure,Medium,21,Resolved
2026-01-23,W04,Chennai,Assembly,F-150,Quality Issue,Medium,12,Resolved
2026-01-23,W04,Chennai,Quality Check,Mustang,Inspection Failure,Medium,13,Resolved
2026-01-23,W04,Chennai,Assembly,Escape,Machine Failure,Medium,20,Active
2026-01-23,W04,Pune,Paint Shop,Mustang,Quality Issue,Medium,16,Resolved
2026-01-23,W04,Pune,Assembly,Escape,Equipment Failure,Low,12,Resolved
2026-01-23,W04,Pune,Assembly,Edge,Quality Issue,Medium,18,Active
2026-01-23,W04,Pune,Assembly,Ranger,Inspection Failure,High,28,Active
2026-01-23,W04,Sanand,Assembly,F-150,Safety Issue,Medium,14,Resolved
2026-01-23,W04,Sanand,Logistics,Explorer,Safety Issue,Medium,16,Resolved
2026-01-23,W04,Sanand,Logistics,Escape,Inspection Failure,High,23,Active
2026-01-23,W04,Sanand,Logistics,Edge,Machine Failure,Medium,16,Active
2026-01-23,W04,Sanand,Paint Shop,Bronco,Equipment Failure,Low,12,Resolved
2026-01-24,W04,Dearborn,Logistics,Mustang,Machine Failure,High,17,Resolved
2026-01-24,W04,Dearborn,Paint Shop,Explorer,Quality Issue,Medium,11,Active
2026-01-24,W04,Dearborn,Logistics,Escape,Inspection Failure,Low,6,Resolved
2026-01-24,W04,Dearborn,Logistics,Ranger,Inspection Failure,Medium,14,Active
2026-01-24,W04,Dearborn,Quality Check,Bronco,Quality Issue,Medium,15,Resolved
2026-01-24,W04,Chicago,Quality Check,F-150,Quality Issue,Medium,12,Resolved
2026-01-24,W04,Chicago,Body Shop,Escape,Machine Failure,Low,7,Active
2026-01-24,W04,Detroit,Quality Check,Bronco,Machine Failure,High,19,Resolved
2026-01-24,W04,Detroit,Assembly,Expedition,Machine Failure,Medium,18,Active
2026-01-24,W04,Detroit,Assembly,Mach-E,Equipment Failure,Medium,15,Resolved
2026-01-24,W04,Kansas City,Quality Check,F-150,Inspection Failure,Low,8,Resolved
2026-01-24,W04,Kansas City,Body Shop,Escape,Machine Failure,Medium,10,Resolved
2026-01-24,W04,Kansas City,Quality Check,Edge,Safety Issue,Low,10,Active
2026-01-24,W04,Kansas City,Logistics,Ranger,Equipment Failure,Medium,14,Resolved
2026-01-24,W04,Kansas City,Quality Check,Bronco,Machine Failure,Low,8,Active
2026-01-24,W04,Kansas City,Body Shop,Expedition,Safety Issue,Low,8,Active
2026-01-24,W04,Kansas City,Logistics,Mach-E,Equipment Failure,High,22,Active
2026-01-24,W04,Louisville,Body Shop,Explorer,Machine Failure,High,18,Active
2026-01-24,W04,Louisville,Quality Check,Expedition,Safety Issue,Medium,16,Active
2026-01-24,W04,Louisville,Body Shop,Fusion,Quality Issue,Low,10,Resolved
2026-01-24,W04,Valencia,Body Shop,F-150,Machine Failure,Low,7,Active
2026-01-24,W04,Valencia,Paint Shop,Mustang,Inspection Failure,Medium,15,Active
2026-01-24,W04,Valencia,Paint Shop,Escape,Machine Failure,High,20,Active
2026-01-24,W04,Valencia,Body Shop,Edge,Equipment Failure,High,18,Resolved
2026-01-24,W04,Valencia,Body Shop,Ranger,Equipment Failure,Medium,17,Active
2026-01-24,W04,Valencia,Body Shop,Bronco,Inspection Failure,High,19,Active
2026-01-24,W04,Valencia,Quality Check,Expedition,Quality Issue,Medium,20,Active
2026-01-24,W04,Cologne,Logistics,F-150,Safety Issue,Medium,14,Resolved
2026-01-24,W04,Cologne,Logistics,Mustang,Equipment Failure,Medium,12,Active
2026-01-24,W04,Cologne,Assembly,Edge,Safety Issue,Medium,15,Resolved
2026-01-24,W04,Cologne,Quality Check,Ranger,Machine Failure,Low,10,Active
2026-01-24,W04,Cologne,Assembly,Bronco,Equipment Failure,Low,8,Active
2026-01-24,W04,Cologne,Paint Shop,Mach-E,Safety Issue,Medium,20,Active
2026-01-24,W04,Chennai,Assembly,F-150,Quality Issue,Medium,11,Resolved
2026-01-24,W04,Chennai,Logistics,Mustang,Inspection Failure,High,18,Resolved
2026-01-24,W04,Chennai,Quality Check,Explorer,Equipment Failure,Low,7,Active
2026-01-24,W04,Chennai,Body Shop,Escape,Machine Failure,Medium,14,Resolved
2026-01-24,W04,Chennai,Assembly,Bronco,Machine Failure,High,21,Active
2026-01-24,W04,Chennai,Paint Shop,Expedition,Equipment Failure,Medium,16,Active
2026-01-24,W04,Chennai,Logistics,Fusion,Equipment Failure,Medium,16,Active
2026-01-24,W04,Pune,Assembly,Mustang,Machine Failure,Low,7,Resolved
2026-01-24,W04,Pune,Assembly,Explorer,Safety Issue,Medium,12,Active
2026-01-24,W04,Pune,Assembly,Bronco,Machine Failure,High,23,Resolved
2026-01-24,W04,Pune,Assembly,Fusion,Quality Issue,High,24,Resolved
